# producer	gap -q gap/generate-tomlib-scan.g
# gap_version	4.15.1
# tomlib_version	1.2.11
# semantics	exact relative to the complete subgroup-class and intersection data in each supplied TomLib table
table_name	group_order	subgroup_classes	maximal_classes	normal_classes	nonabelian_simple	solvable	chief_factor_orders	cmp	failed_maximal_classes
5^(1+2)+:24	3000	30	3	10	false	fail	not_computed	false	29,22
5^(1+2)+:3:8	3000	30	3	9	false	fail	not_computed	false	29,22
5^(1+2)+:3:8.2	6000	76	5	15	false	fail	not_computed	false	73,57
5^(1+2)+:4A5	30000	148	5	7	false	fail	not_computed	false	145,144,132
5^(1+2)+:8	1000	30	2	6	false	fail	not_computed	false	29,20
5^(1+2)+:8:2	2000	52	4	11	false	fail	not_computed	false	49,37
5^2:(4xS3)	600	48	5	12	false	fail	not_computed	false	45
5^2:4A4	1200	38	4	8	false	fail	not_computed	false	35
5^2:D12	300	30	5	8	false	true	2,2,3,25	true	none
5^2:GL2(5)	12000	132	5	7	false	fail	not_computed	false	131,128,127
5^2:S3	150	12	3	4	false	true	2,3,25	true	none
5^3:(2xA5).2	30000	175	5	6	false	fail	not_computed	false	174,171,170
5^3:62	7750	12	3	5	false	true	2,31,125	true	none
5x2.A6.2_2	7200	76	5	8	false	fail	not_computed	false	68,66
5xA5	300	20	4	4	false	fail	not_computed	false	17,16
63:2	126	12	3	7	false	fail	not_computed	false	10
6^2:D12	432	134	6	15	false	true	2,2,3,3,3,4	true	none
6^2:S3	216	45	4	10	false	true	2,3,3,3,4	true	none
73:3	219	4	2	3	false	true	3,73	true	none
7:3x3	63	12	5	8	false	true	3,3,7	true	none
7:3xL3(2)	3528	74	5	6	false	false	3,7,168	true	none
7:6	42	8	3	5	false	true	2,3,7	true	none
7:6xS3	252	44	6	17	false	true	2,2,3,3,7	true	none
7^(1+2)+:(S3x3)	6174	55	4	8	false	fail	not_computed	false	37
7^(1+2):48	16464	38	3	12	false	fail	not_computed	false	37,28
7^2:2.L2(7):2	32928	112	5	5	false	fail	not_computed	false	110,103
7^2:2A4	1176	22	3	5	false	fail	not_computed	false	20
7^2:2L2(7)	16464	58	4	4	false	fail	not_computed	false	55
7^2:S3	294	14	3	4	false	true	2,3,49	true	none
8^2:S3	384	47	3	6	false	fail	not_computed	false	44
91:3	273	8	3	5	false	true	3,7,13	true	none
A10	1814400	430	7	2	true	fail	not_computed	false	429,428,426,425,424,415
A11	19958400	788	7	2	true	fail	not_computed	false	784,783,781
A12	239500800	2537	11	2	true	fail	not_computed	false	2535,2533,2531,2530,2528,2508,2500,2491
A13	3113510400	4558	9	2	true	fail	not_computed	false	4556,4554,4552,4550,4548,4320,4319,1713
A4x7:3	252	28	6	11	false	true	3,3,4,7	true	none
A4xA5	720	63	5	6	false	fail	not_computed	false	59,57
A4xS3	72	26	4	9	false	true	2,3,3,4	true	none
A4xS5	1440	146	6	9	false	fail	not_computed	false	136
A5	60	9	3	2	true	fail	not_computed	false	7,6
A5xA5	3600	113	8	4	false	fail	not_computed	false	110,109,108,107
A5xD10	600	48	5	6	false	fail	not_computed	false	44,43
A6	360	22	5	2	true	fail	not_computed	false	21,20,19,18,17
A6.2^2	1440	65	6	6	false	fail	not_computed	false	53,49
A6.2_2	720	26	4	3	false	fail	not_computed	false	20,18
A6.2_3	720	25	4	3	false	fail	not_computed	false	24,23,17,15
A7	2520	40	5	2	true	fail	not_computed	false	38,37,35
A8	20160	137	6	2	true	fail	not_computed	false	133,132
A9	181440	223	8	2	true	fail	not_computed	false	221,219,216,210,193
Co3	495766656000	2483	14	2	true	fail	not_computed	false	2482,2480,2479,2478,2474,2472,2470,2469,2462,2458,2457,2397,2318,2018
D122	122	4	2	3	false	true	2,61	true	none
D14	14	4	2	3	false	true	2,7	true	none
D62	62	4	2	3	false	true	2,31	true	none
D62x2	124	10	4	7	false	true	2,2,31	true	none
D6xD10	60	20	5	10	false	true	2,2,3,5	true	none
G2(3)	4245696	433	10	2	true	fail	not_computed	false	432,431,430,429,428,427,411,407,404,395
G2(3).2	8491392	399	6	3	false	fail	not_computed	false	393,389,385,384,373
G2(4)	251596800	4300	8	2	true	fail	not_computed	false	4299,4298,4297,4296,4295,4279,4256,4197
HS	44352000	589	12	2	true	fail	not_computed	false	588,587,586,583,582,579,578,577,576,575,571,551
HS.2	88704000	2057	10	3	false	fail	not_computed	false	2055,2054,2049,2048,2047,2041,2038,2023
He	4030387200	1698	11	2	true	fail	not_computed	false	1697,1695,1692,1691,1683,1682,1679,1652,1638,1626,1552
He.2	8060774400	1930	12	3	false	fail	not_computed	false	1928,1922,1921,1920,1919,1918,1913,1910,1908,1887
J1	175560	40	7	2	true	fail	not_computed	false	39,38,37,36,35,34,28
J2	604800	146	9	2	true	fail	not_computed	false	145,144,143,142,140,139,135,133,99
J2.2	1209600	373	10	3	false	fail	not_computed	false	369,368,367,362,361,353,351,288
J3	50232960	137	9	2	true	fail	not_computed	false	136,134,133,132,131,130,129,128,127
J3.2	100465920	354	9	3	false	fail	not_computed	false	352,350,349,348,346,345,341,300
L2(101)	515100	29	5	2	true	fail	not_computed	false	28,23,21,20,19
L2(103)	546312	29	5	2	true	fail	not_computed	false	23,14,13
L2(107)	612468	24	4	2	true	fail	not_computed	false	20,10
L2(109)	647460	36	5	2	true	fail	not_computed	false	35,28,26,25,24
L2(11)	660	16	4	2	true	false	660	true	none
L2(11).2	1320	29	5	3	false	fail	not_computed	false	21
L2(113)	721392	39	5	2	true	fail	not_computed	false	38,31,29,20,19
L2(121)	885720	63	5	2	true	fail	not_computed	false	62,57,56,47,45
L2(125)	976500	29	4	2	true	fail	not_computed	false	28,25,23,18
L2(13)	1092	16	4	2	true	fail	not_computed	false	15,12,10,9
L2(13).2	2184	30	5	3	false	fail	not_computed	false	24,22,21
L2(16)	4080	21	4	2	true	fail	not_computed	false	18,16,15
L2(16).2	8160	47	5	3	false	fail	not_computed	false	42,39,38
